itemId,inscriptionNumber,inscriptionId,contentType,output,imageUrl,Background,Body accessory,Eyes,Fur,Head,Mouth,Mouth accessory
416,14993,ee34723b4e51f6802934e4b47b83be394c2861be40c5bfb120248f8207fb6ab5i0,image/png,ade97c7aee0767ff03661d2c0369a8765f9fa630a74d3728bde5a3fa58e6ad12:0,https://cdn.doggy.market/content/ee34723b4e51f6802934e4b47b83be394c2861be40c5bfb120248f8207fb6ab5i0,Green,Skull,Doge eyes,Cream,Earing,Neutral,
420,14997,eef06f0358fa96b14ce2ac0789c2810a679469007114e437cf8a07652b6cdfaei0,image/png,eecc904486167134b30afe724d11c35314633b81d8a49670b509fb8007c5fe5d:1,https://cdn.doggy.market/content/eef06f0358fa96b14ce2ac0789c2810a679469007114e437cf8a07652b6cdfaei0,Blue,Brown hoodie,Red glasses,Red,Baseball cap blue rev,Smiling,Blunt
423,15000,5f0bdb857476cb9dd2cb5277b58dbf3d4ba824996b90c1ab2d3fec5630079154i0,image/png,e78dc90bd2a5cf366adc289c1b7b3373c8849bd10264a661e5cb9f91f442c73e:1,https://cdn.doggy.market/content/5f0bdb857476cb9dd2cb5277b58dbf3d4ba824996b90c1ab2d3fec5630079154i0,Space,Red collar,Stoned eyes,Red,Baseball cap blue rev,Smiling,Open mouth
436,15013,0df77d2ab6ad75ad5b411891f5564663ebb4c67eeebd8ff4697bdb01ef4bbd16i0,image/png,b9711bb4fee51090148f3682fc395ad56b0668da564eb02783b2e5f0203a7a37:3,https://cdn.doggy.market/content/0df77d2ab6ad75ad5b411891f5564663ebb4c67eeebd8ff4697bdb01ef4bbd16i0,Brown,Red kimono,Happy eyes,Cream,Hat,Neutral,Cigar
443,15020,9ed3d183e1118ca11495a4bc99add1776ffe5b110a55bcb363c20207fdbd8fe3i0,image/png,b973158247b8f9144cf92bffcec7b2ac238a699d5f99f4204e3abac4ff64925f:1,https://cdn.doggy.market/content/9ed3d183e1118ca11495a4bc99add1776ffe5b110a55bcb363c20207fdbd8fe3i0,Fire,Blue kimono,Doge eyes,Cream,,Smiling,
447,15024,1aea2b2145e50129db453b55f308d0dac8c625f7b79872532d6fee760bd18789i0,image/png,b9711bb4fee51090148f3682fc395ad56b0668da564eb02783b2e5f0203a7a37:4,https://cdn.doggy.market/content/1aea2b2145e50129db453b55f308d0dac8c625f7b79872532d6fee760bd18789i0,Green,Black collar,Black glasses,Black n tan,Baseball cap red rev,Smiling,
514,15091,fef31cabbb5332c098d3970ee23060e20c9bf161a81bd48c602104defdabb90ci0,image/png,620fce674c637c5a75cf604710e86022b7405c0dc305c4d69b8b366012382568:1,https://cdn.doggy.market/content/fef31cabbb5332c098d3970ee23060e20c9bf161a81bd48c602104defdabb90ci0,Blue,Red kimono,Doge eyes,Red,,Neutral,Teeth
516,15093,61ae5723ec916717fc150e1eb1d5154367f0497542be57ee7a970ad540224ef6i0,image/png,f7cf6ecc669643e69773f101cb6f303263886e6c3db33dac586b7af407cf0b8a:1,https://cdn.doggy.market/content/61ae5723ec916717fc150e1eb1d5154367f0497542be57ee7a970ad540224ef6i0,Red,Necktie,Pirate patch,Sesame,White strip hat,Smiling,
539,15116,41097df2329e79f9fb37b295e97315f1b474090ebd236a43273fa1e88f53e82ai0,image/png,ed2a1a9578625b9bda3197064bdeac39209d4191f91fba2e52cfcb6c8999453c:1,https://cdn.doggy.market/content/41097df2329e79f9fb37b295e97315f1b474090ebd236a43273fa1e88f53e82ai0,White,Micro doge,Blue glasses,Red,Crown,Neutral,Open mouth
542,15119,a4e837f239efaac8097f4c6615fef2b4ff6655168ff44f854f52344b59730cf2i0,image/png,7ce3666f6ee92032b847b69aabd4defe4b8b6b1633ace9d75103867e94318601:1,https://cdn.doggy.market/content/a4e837f239efaac8097f4c6615fef2b4ff6655168ff44f854f52344b59730cf2i0,White,,Doge eyes,Red,Baseball cap black,Neutral,
551,15128,9bfdef0ef27537ee9a31fc84019ef838446ce43bcdfef02c5a16ba6bb2b3c51ei0,image/png,dab10a562cfc0cafb80a1ed60d64df7ba40ea5810344c4d6ba7c2dddaf0e6a7e:1,https://cdn.doggy.market/content/9bfdef0ef27537ee9a31fc84019ef838446ce43bcdfef02c5a16ba6bb2b3c51ei0,White,Black spiked collar,Doge eyes,Red,Baseball cap blue,Short,Cigar
